acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.792,0.9,0.771428571428571,0.978632478632479,0.443722943722944,0.835714285714286,0.0609918027279076,0.136930639376292,0.0900365257199478,0.0292976692324831,0.0776208704633814,0.0458371983528058,0.72,0.86,0.84,0.74,0.8,100,16,0.001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.772,0.925,0.742857142857143,0.982638888888889,0.412409812409812,0.833928571428572,0.0481663783151692,0.111803398874989,0.066068747264341,0.0252781593377796,0.0544400861991236,0.0469823506206455,0.72,0.76,0.84,0.74,0.8,100,16,0.001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.74,0.9,0.70952380952381,0.974987781036168,0.373581011351909,0.804761904761905,0.0424264068711929,0.104582503316759,0.0542940678618637,0.0261584158752005,0.0417669893598515,0.0492916806832603,0.68,0.78,0.74,0.72,0.78,100,16,0.01,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.78,0.925,0.752380952380952,0.983006535947713,0.422132034632035,0.838690476190476,0.0489897948556636,0.111803398874989,0.0685945728137521,0.0250378840645464,0.0535223495065714,0.0446626940054859,0.72,0.8,0.84,0.74,0.8,100,16,0.001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.784,0.925,0.757142857142857,0.982829888712242,0.431610056610057,0.841071428571429,0.0622896460095897,0.111803398874989,0.0796819072889596,0.0260605266361137,0.0813722082157833,0.0547813112611597,0.72,0.86,0.84,0.74,0.76,100,16,0.001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.796,0.925,0.771428571428571,0.983625730994152,0.451298701298701,0.848214285714286,0.0669328021227261,0.111803398874989,0.0900365257199478,0.0246898617924966,0.0907672569102241,0.0474326709836584,0.72,0.88,0.84,0.74,0.8,100,16,0.001,0.01,5,X se block
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.784,0.85,0.771428571428571,0.965178571428572,0.415321637426901,0.810714285714286,0.0219089023002066,0.104582503316759,0.031943828249997,0.0237741552780256,0.0309731805912784,0.0449690464214489,0.78,0.78,0.82,0.76,0.78,100,16,0.001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.74,0.9,0.709523809523809,0.977124183006536,0.375734048560136,0.804761904761905,0.04,0.136930639376292,0.0722178613719195,0.0313453040739394,0.031080097472679,0.0350635154167217,0.7,0.8,0.72,0.72,0.76,100,16,0.001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.708,0.9,0.671428571428571,0.973839379011793,0.343183755715725,0.785714285714286,0.0228035085019827,0.104582503316759,0.0391230398217976,0.0260565489652637,0.0177284754805157,0.039427503867535,0.7,0.72,0.74,0.68,0.7,100,16,0.001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.752,0.7,0.761904761904762,0.93536125259385,0.349874686716792,0.730952380952381,0.0501996015920445,0.301039864469807,0.0583211843519804,0.0623445829935962,0.104639030181837,0.139335308630987,0.84,0.74,0.72,0.72,0.74,100,8,0.001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.776,0.85,0.761904761904762,0.966597867217062,0.413095238095238,0.805952380952381,0.0433589667773576,0.136930639376292,0.0733858809877259,0.0305704027442853,0.0531731224622078,0.0396180030768899,0.8,0.74,0.84,0.76,0.74,100,8,0.001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.764,0.875,0.742857142857143,0.968882488479263,0.39625730994152,0.808928571428572,0.0328633534503099,0,0.0391230398217976,0.00150991448844208,0.0406687202101233,0.0195615199108988,0.74,0.76,0.82,0.74,0.76,100,8,0.001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.772,0.825,0.761904761904762,0.959008654181068,0.413824802648332,0.793452380952381,0.0641872261435249,0.0684653196881458,0.0874817765279706,0.0115462307193215,0.0838161354269223,0.0219311112225483,0.78,0.8,0.7,0.72,0.86,100,8,0.001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.74,0.9,0.709523809523809,0.977124183006536,0.375734048560136,0.804761904761905,0.04,0.136930639376292,0.0722178613719195,0.0313453040739394,0.031080097472679,0.0350635154167217,0.7,0.8,0.72,0.72,0.76,100,16,0.001,0.1,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.784,0.775,0.785714285714286,0.949743830730673,0.418686868686869,0.780357142857143,0.0477493455452533,0.104582503316759,0.0733858809877259,0.0187870291107352,0.0588486790316748,0.0270653393914039,0.72,0.84,0.82,0.76,0.78,100,16,0.001,0.1,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.796,0.825,0.790476190476191,0.961394251394251,0.437342657342657,0.807738095238095,0.0477493455452533,0.111803398874989,0.0722178613719196,0.0246402792852804,0.0545983247443834,0.0350635154167218,0.72,0.78,0.84,0.82,0.82,100,16,0.001,0.1,5,
